rho,vp,vs,dip,strike,plunge,trend,ani,depth
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,0.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,2000.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,4000.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,6000.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,8000.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,10000.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,12000.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,14000.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,16000.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,18000.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,20000.0
2177.0,6175.0,3879.0,0.0,0.0,0.0,0.0,0.0,20049.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,22000.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,24000.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,26000.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,28000.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,30000.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,32000.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,34000.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,36000.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,38000.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,40000.0
2781.0,7495.0,4212.0,0.0,0.0,0.0,0.0,0.0,40967.0
2991.0,8610.0,5240.0,0.0,0.0,0.0,0.0,0.0,42000.0
2991.0,8610.0,5240.0,0.0,0.0,0.0,0.0,0.0,44000.0
2991.0,8610.0,5240.0,0.0,0.0,0.0,0.0,0.0,46000.0
2991.0,8610.0,5240.0,0.0,0.0,0.0,0.0,0.0,48000.0
2991.0,8610.0,5240.0,0.0,0.0,0.0,0.0,0.0,50000.0
