rho,vp,vs,dip,strike,plunge,trend,ani,depth
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,0.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,2000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,4000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,6000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,8000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,10000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,12000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,14000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,16000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,18000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,20000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,22000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,24000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,26000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,28000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,30000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,32000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,34000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,36000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,38000.0
2414.0,7347.0,4007.0,0.0,0.0,0.0,0.0,0.0,39159.0
2287.0,8284.0,5933.0,0.0,0.0,0.0,0.0,0.0,40000.0
2287.0,8284.0,5933.0,0.0,0.0,0.0,0.0,0.0,42000.0
2287.0,8284.0,5933.0,0.0,0.0,0.0,0.0,0.0,44000.0
2287.0,8284.0,5933.0,0.0,0.0,0.0,0.0,0.0,46000.0
2287.0,8284.0,5933.0,0.0,0.0,0.0,0.0,0.0,48000.0
2287.0,8284.0,5933.0,0.0,0.0,0.0,0.0,0.0,50000.0
